=== CHECKING PEMBELAJARAN MAPEL & AGENDAS ===

ID PM: 203 | Mapel: Seni Budaya (ID:11) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 204 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: VII (ID:1) | Rombel: Al Ghifari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 331 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 332 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 333 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 334 | Mapel: Bahasa Inggris (ID:3) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 335 | Mapel: Matematika (ID:1) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 336 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 337 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 338 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 339 | Mapel: Seni Budaya (ID:11) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 340 | Mapel: Informatika (ID:9) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 341 | Mapel: Bahasa Sunda (ID:10) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 342 | Mapel: Geografi (ID:22) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 343 | Mapel: Sosiologi (ID:23) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 344 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: X (ID:4) | Rombel: Aiman | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 293 | Mapel: Matematika (ID:1) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 294 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 295 | Mapel: Bahasa Inggris (ID:3) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 296 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 297 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 298 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 299 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 300 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 301 | Mapel: Informatika (ID:9) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 302 | Mapel: Bahasa Sunda (ID:10) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 303 | Mapel: Seni Budaya (ID:11) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 304 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: XI (ID:5) | Rombel: Al Jazari | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 305 | Mapel: Matematika (ID:1) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 306 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 307 | Mapel: Bahasa Inggris (ID:3) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 308 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 309 | Mapel: Pendidikan Pancasila (ID:5) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 310 | Mapel: Ilmu Pengetahuan Alam (ID:6) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 311 | Mapel: Ilmu Pengetahuan Sosial (ID:7) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 312 | Mapel: Pendidikan Jasmani, Olahraga dan Kesehatan (ID:8) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 313 | Mapel: Informatika (ID:9) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 314 | Mapel: Bahasa Sunda (ID:10) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 315 | Mapel: Seni Budaya (ID:11) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 316 | Mapel: Kepesantrenan 1 (ID:14) | Tingkat: XII (ID:6) | Rombel: Hanafi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
